Product,Created_at,UF,Unit,volume,year_month
ÓLEO DIESEL (m3),2000,DISTRITO FEDERAL,m3,23310.896,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,RONDÔNIA,m3,25.551020408163264,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,ACRE,m3,0.0,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,AMAZONAS,m3,29063.21224489796,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,RORAIMA,m3,0.0,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,PARÁ,m3,50888.66224489796,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,AMAPÁ,m3,0.0,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,TOCANTINS,m3,127.55102040816327,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,MARANHÃO,m3,10830.645918367347,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,PIAUÍ,m3,392.93163265306123,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,CEARÁ,m3,2797.9265306122447,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,RIO GRANDE DO NORTE,m3,2185.8469387755104,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,PARAÍBA,m3,4406.142857142858,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,PERNAMBUCO,m3,11041.975510204082,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,ALAGOAS,m3,525.2346938775511,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,SERGIPE,m3,5806.993877551021,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,BAHIA,m3,46102.85408163265,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,MINAS GERAIS,m3,111463.95510204083,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,ESPÍRITO SANTO,m3,46704.40306122449,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,RIO DE JANEIRO,m3,91780.26224489797,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,SÃO PAULO,m3,303054.8714285714,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,PARANÁ,m3,36761.96326530613,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,SANTA CATARINA,m3,20637.059183673467,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,RIO GRANDE DO SUL,m3,37685.08877551021,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,MATO GROSSO DO SUL,m3,3628.5244897959187,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,MATO GROSSO,m3,2610.816326530612,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,GOIÁS,m3,35485.94897959184,2000-01-01
ÓLEO COMBUSTÍVEL (m3),2000,DISTRITO FEDERAL,m3,3964.4785714285713,2000-01-01
ETANOL HIDRATADO (m3),2000,RONDÔNIA,m3,1499.4,2000-01-01
ETANOL HIDRATADO (m3),2000,ACRE,m3,501.46,2000-01-01
ETANOL HIDRATADO (m3),2000,AMAZONAS,m3,1439.064,2000-01-01
ETANOL HIDRATADO (m3),2000,RORAIMA,m3,143.15,2000-01-01
ETANOL HIDRATADO (m3),2000,PARÁ,m3,2224.09,2000-01-01
ETANOL HIDRATADO (m3),2000,AMAPÁ,m3,118.7,2000-01-01
ETANOL HIDRATADO (m3),2000,TOCANTINS,m3,1374.65,2000-01-01
ETANOL HIDRATADO (m3),2000,MARANHÃO,m3,1596.19,2000-01-01
ETANOL HIDRATADO (m3),2000,PIAUÍ,m3,1992.95,2000-01-01
ETANOL HIDRATADO (m3),2000,CEARÁ,m3,6138.26,2000-01-01
ETANOL HIDRATADO (m3),2000,RIO GRANDE DO NORTE,m3,3851.4,2000-01-01
ETANOL HIDRATADO (m3),2000,PARAÍBA,m3,4162.82,2000-01-01
ETANOL HIDRATADO (m3),2000,PERNAMBUCO,m3,9657.005,2000-01-01
ETANOL HIDRATADO (m3),2000,ALAGOAS,m3,1763.395,2000-01-01
ETANOL HIDRATADO (m3),2000,SERGIPE,m3,2409.463,2000-01-01
ETANOL HIDRATADO (m3),2000,BAHIA,m3,10366.969,2000-01-01
ETANOL HIDRATADO (m3),2000,MINAS GERAIS,m3,47585.405,2000-01-01
ETANOL HIDRATADO (m3),2000,ESPÍRITO SANTO,m3,7164.27,2000-01-01
ETANOL HIDRATADO (m3),2000,RIO DE JANEIRO,m3,24091.337,2000-01-01
ETANOL HIDRATADO (m3),2000,SÃO PAULO,m3,187685.086,2000-01-01
ETANOL HIDRATADO (m3),2000,PARANÁ,m3,34871.322,2000-01-01
ETANOL HIDRATADO (m3),2000,SANTA CATARINA,m3,16069.635,2000-01-01
ETANOL HIDRATADO (m3),2000,RIO GRANDE DO SUL,m3,18374.919,2000-01-01
ETANOL HIDRATADO (m3),2000,MATO GROSSO DO SUL,m3,5871.871,2000-01-01
ETANOL HIDRATADO (m3),2000,MATO GROSSO,m3,5863.245,2000-01-01
